STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
48,001,950100,1,1196,+32.056323,-095.505361
48,001,950100,2,1962,+31.977292,-095.494531
48,001,950100,3,1483,+31.969243,-095.602603
48,001,950401,1,5782,+31.754752,-095.822269
48,001,950402,1,7115,+31.784573,-095.902815
48,001,950500,1,733,+31.783270,-095.615591
48,001,950500,2,470,+31.768375,-095.618722
48,001,950500,3,1964,+31.775416,-095.630318
48,001,950500,4,1312,+31.781849,-095.646625
48,001,950600,1,1797,+31.763960,-095.656790
48,001,950600,2,1485,+31.731497,-095.684535
48,001,950600,3,1426,+31.746858,-095.653961
48,001,950600,4,1328,+31.741584,-095.669087
48,001,950700,1,905,+31.744312,-095.632705
48,001,950700,2,661,+31.756841,-095.639406
48,001,950700,3,998,+31.759058,-095.629867
48,001,950800,1,1468,+31.729181,-095.611361
48,001,950800,2,1288,+31.743042,-095.610100
48,001,950800,3,1146,+31.757832,-095.620323
48,001,950800,4,822,+31.753157,-095.619372
48,001,950800,5,703,+31.747649,-095.616574
48,001,950901,1,1148,+31.688079,-095.707497
48,001,950901,2,756,+31.710297,-095.625116
48,001,950901,3,613,+31.710300,-095.730861
48,001,950901,4,2764,+31.761313,-095.744317
48,001,950902,1,1063,+31.728480,-095.547339
48,001,950902,2,1734,+31.785334,-095.538427
48,001,950902,3,899,+31.827362,-095.651486
48,001,950902,4,1394,+31.829922,-095.581944
48,001,951001,1,1367,+31.611812,-095.431943
48,001,951001,2,2251,+31.660263,-095.531648
48,001,951002,1,780,+31.657874,-095.623056
48,001,951002,2,1338,+31.592906,-095.623119
48,001,951002,3,644,+31.620101,-095.582862
48,001,951002,4,739,+31.628322,-095.573140
48,001,951100,1,1872,+31.959282,-095.759337
48,001,951100,2,817,+31.929818,-095.947284
48,001,951100,3,1065,+31.829857,-095.782970
48,001,951100,4,634,+31.856172,-095.827780
48,003,950100,1,2405,+32.338469,-102.559863
48,003,950200,1,1749,+32.332866,-102.541765
48,003,950200,2,1130,+32.326949,-102.542829
48,003,950200,3,2011,+32.329607,-102.554309
48,003,950200,4,910,+32.325154,-102.562869
48,003,950200,5,1105,+32.329567,-102.565963
48,003,950200,6,805,+32.321552,-102.561709
48,003,950300,1,2310,+32.312251,-102.546206
48,003,950300,2,1662,+32.316089,-102.556583
48,003,950300,3,696,+32.322394,-102.544021
48,003,950400,1,2249,+32.313160,-102.488713
48,003,950400,2,1578,+32.290582,-102.485234
48,005,000102,1,1279,+31.309501,-094.836108
48,005,000102,2,1715,+31.356310,-094.835617
48,005,000102,3,1989,+31.332253,-094.831095
48,005,000103,1,1343,+31.454756,-094.812935
48,005,000103,2,2097,+31.423984,-094.769783
48,005,000104,1,995,+31.434253,-094.930370
48,005,000104,2,1979,+31.407927,-094.825556
48,005,000201,1,988,+31.335974,-094.660058
48,005,000201,2,575,+31.275692,-094.694354
48,005,000201,3,1575,+31.297248,-094.681953
48,005,000202,1,1327,+31.398492,-094.716949
48,005,000202,2,677,+31.414155,-094.666503
48,005,000202,3,1554,+31.370324,-094.655435
48,005,000301,1,1891,+31.391919,-094.761380
48,005,000301,2,1465,+31.336940,-094.789250
48,005,000301,3,2057,+31.373646,-094.782906
48,005,000302,1,1511,+31.273601,-094.751227
48,005,000302,2,1808,+31.316388,-094.792264
48,005,000302,3,958,+31.327250,-094.774994
48,005,000302,4,1042,+31.285428,-094.803276
48,005,000400,1,656,+31.356555,-094.750228
48,005,000400,2,1972,+31.337987,-094.761573
48,005,000400,3,1605,+31.332944,-094.742018
48,005,000400,4,1128,+31.342129,-094.737799
48,005,000500,1,712,+31.351784,-094.728156
48,005,000500,2,1549,+31.368736,-094.745346
48,005,000500,3,665,+31.352545,-094.735397
48,005,000500,4,714,+31.361730,-094.719836
48,005,000600,1,1470,+31.356421,-094.709459
48,005,000600,2,1517,+31.346957,-094.714737
48,005,000600,3,1487,+31.350044,-094.691468
48,005,000600,4,1362,+31.338918,-094.700287
48,005,000700,1,1154,+31.328820,-094.728987
48,005,000700,2,869,+31.334888,-094.724352
48,005,000700,3,1047,+31.344164,-094.722573
48,005,000800,1,1440,+31.324887,-094.700393
48,005,000800,2,1276,+31.320013,-094.713435
48,005,000800,3,951,+31.332028,-094.713116
48,005,000800,4,1194,+31.301516,-094.715114
48,005,000800,5,1304,+31.305595,-094.699695
48,005,000902,1,992,+31.294788,-094.733152
48,005,000902,2,1915,+31.281030,-094.726355
48,005,000902,3,824,+31.270417,-094.721152
48,005,000903,1,2114,+31.310512,-094.764910
48,005,000903,2,1131,+31.313674,-094.754378
48,005,000904,1,1624,+31.321041,-094.744553
48,005,000904,2,1645,+31.317271,-094.734474
48,005,001001,1,1487,+31.188735,-094.786725
48,005,001001,2,1473,+31.175900,-094.797832
48,005,001001,3,1093,+31.192594,-094.812435
48,005,001001,4,990,+31.238841,-094.773814
48,005,001002,1,1290,+31.184747,-094.776591
48,005,001002,2,1136,+31.155564,-094.708764
48,005,001002,3,1609,+31.220521,-094.731090
48,005,001101,1,1392,+31.277919,-094.644137
48,005,001101,2,2004,+31.271092,-094.607180
48,005,001102,1,1154,+31.332273,-094.580206
48,005,001102,2,1303,+31.386062,-094.581335
48,005,001102,3,599,+31.286807,-094.578752
