"orphan","act","dExist_m","dPlanned_m","nearest_planned","decision"
"Galleria / Addison","81016","14298","1125","DNT Line - East","extend DNT Line - East"
"baylor n","61657","640","1830","DNT Line - East","served-existing"
"Medical City Dallas","34717","1147","2975","DNT Line - East","served-existing"
"Richardson SE","21775","1392","4059","Beltline Line","extend Beltline Line"
"Spring Valley","19896","1728","1752","Beltline Line","extend Beltline Line"
"CityLine / Richardson","19862","4449","1454","Cotton Belt","extend Cotton Belt"
"South Arlington","19470","10489","2101","Blue Ctd","extend Blue Ctd"
"Vista Ridge","13984","2663","4944","Cotton Belt","extend Cotton Belt"
"Carrollton East","13153","1019","1500","Beltline Line","served-existing"
"Addison North","12837","18712","1247","DNT Line - East","extend DNT Line - East"
"Garland SE","12808","6369","3016","Silver","extend Silver"
"Garland Central","12316","2818","1022","Beltline Line","extend Beltline Line"
"Point 78","11881","1955","7599","Cotton Belt","skip"
"Richland College","11830","1395","3701","Beltline Line","extend Beltline Line"
"Carrollton","11817","4217","4611","Cotton Belt","extend Cotton Belt"
"Garland North","11631","1391","3305","Blue Ctd","extend Blue Ctd"
"Plano SW","10783","7742","1554","Cotton Belt","extend Cotton Belt"
"Great Southwest","10308","9305","1100","Purple line","extend Purple line"
"Bedford / SH-183","10281","3926","1113","Purple line","extend Purple line"
"Deep Ellum East","9521","386","1770","DNT Line - East","served-existing"
"GSW Industrial","7821","20419","1640","Purple line","skip"
"Glenn Heights","7137","4561","1331","Silver","skip"
"Mountain Creek","6582","347","3079","Blue Ctd","served-existing"
