"station_id","name","mode","src","year_opens","term","act1k","fwy_m","feasibility","lat","lon"
"X227","Addison S","metro","extra","2045","0","5036","435","moderate","32.944895","-96.82778"
"X281","Lindberg E2","metro","extra","2070","0","5054","710","moderate","32.682242","-97.173402"
"X495","Ridgmar Mall","brt","extra","2060","0","5069","1583","moderate","32.721773","-97.439904"
"X010","White Settlement W","brt","extra","2060","0","5082","835","moderate","32.759396","-97.46886"
"S051","Altamesa","metro","fw","2035","1","5096","273","moderate","32.638","-97.413"
"X404","Grand Prairie SE","metro","extra","2060","0","5105","1513","moderate","32.744779","-96.994978"
"X015","Sundance Square SE","brt","extra","2035","0","5109","49","moderate","32.741041","-97.30292"
"X504","Dr pepper ballpark","metro","extra","2050","0","5122","94","moderate","33.099276","-96.823246"
"X336","Garland NE","brt","extra","2065","0","5137","3378","moderate","32.920393","-96.630656"
"X546","Saginaw","commuter","extra","2070","0","5196","4070","moderate","32.876283","-97.364532"
"X293","Sunset Acres S","metro","extra","2070","0","5202","2655","moderate","32.644654","-96.95588"
"X579","Forney","commuter","extra","2040","0","5212","865","moderate","32.748402","-96.471231"
"X352","Valley Ranch","brt","extra","2065","0","5217","3949","moderate","32.953088","-96.961444"
"X556","Fort Worth Stockyards National Historic District NE2","commuter","extra","2055","0","5244","565","moderate","32.807445","-97.322807"
"X461","North Westchester Meadows NW","metro","extra","2065","0","5277","1613","moderate","32.693064","-97.046366"
"X381","Wilmer","brt","extra","2065","0","5312","420","moderate","32.59325","-96.675142"
"X201","Brookhaven","metro","extra","2040","0","5333","971","moderate","32.928245","-96.855247"
"X014","Fort Worth","brt","extra","2035","0","5340","1040","moderate","32.758462","-97.301758"
"X253","Irving NE","metro","extra","2050","0","5395","698","moderate","32.844351","-96.922285"
"X299","Oak Cliff S","metro","extra","2070","0","5431","276","moderate","32.684206","-96.853806"
"X583","Hutchins","commuter","extra","2060","0","5440","405","moderate","32.644041","-96.709898"
"X360","Irving W4","brt","extra","2065","0","5459","2653","moderate","32.812923","-96.993759"
"X538","Lytle","commuter","extra","2035","0","5527","1102","moderate","32.625449","-97.333281"
"X213","Wheatley Place Historic District","metro","extra","2040","1","5585","578","moderate","32.751366","-96.759004"
"X477","Richland Hills","brt","extra","2060","0","5710","1755","moderate","32.809016","-97.244906"
"X334","Garland Central","brt","extra","2065","0","5727","3851","moderate","32.880889","-96.623642"
"X260","Design District","metro","extra","2050","0","5727","726","moderate","32.792546","-96.82244"
"X203","Plz","metro","extra","2040","0","5736","3865","moderate","32.880668","-96.855836"
"X442","Euless N2","metro","extra","2065","0","5759","341","moderate","32.868095","-97.070068"
"X248","Rowlett","metro","extra","2045","1","5800","2561","moderate","32.814214","-96.595111"
"X065","Keller W","commuter","extra","2045","0","5827","5878","moderate","32.92432","-97.255448"
"X431","Enchanted Creek W","metro","extra","2065","0","5837","1602","moderate","32.660742","-97.134488"
"X008","White Settlement","brt","extra","2060","0","5876","483","moderate","32.73381","-97.452284"
"X481","Ederville","brt","extra","2060","0","5975","101","moderate","32.764611","-97.213787"
"X374","De Soto E","brt","extra","2065","0","5990","6014","moderate","32.589737","-96.854135"
"X548","Haltom City","commuter","extra","2070","0","5995","1656","moderate","32.824214","-97.283641"
"X428","Trusted Medical Centers Mansfield","metro","extra","2065","0","6014","595","moderate","32.602515","-97.144529"
"X037","Sansom Park SE","brt","extra","2055","0","6048","2431","moderate","32.795679","-97.397625"
"X036","Fair Oaks","brt","extra","2055","0","6053","4095","moderate","32.785505","-97.383375"
"X339","Whispering Hills","brt","extra","2065","0","6085","5082","moderate","32.945374","-96.683294"
"X018","Forest Hill","brt","extra","2035","0","6115","2415","moderate","32.690185","-97.295066"
"X364","Indian Hills SE","brt","extra","2065","0","6116","3917","moderate","32.723","-96.994101"
"X554","Saginaw","commuter","extra","2055","0","6118","3153","moderate","32.889496","-97.362584"
"X212","South Side","metro","extra","2040","0","6144","666","moderate","32.768765","-96.784888"
"X522","First Baptist Medical Center","brt","extra","2045","0","6176","933","moderate","32.909408","-96.804066"
"X594","Oak Cliff","commuter","extra","2045","1","6202","4339","moderate","32.710056","-96.875803"
"X452","Irving W3","metro","extra","2065","0","6225","2125","moderate","32.817699","-96.993154"
"X565","The Colony","commuter","extra","2050","0","6232","1006","moderate","33.09085","-96.856909"
"X584","Ennis","commuter","extra","2060","1","6238","39005","moderate","32.328437","-96.62703"
"X441","Euless N","metro","extra","2065","0","6255","1916","moderate","32.858303","-97.082491"
"X066","Watauga","commuter","extra","2045","0","6360","5830","moderate","32.893046","-97.259421"
"X004","River Oaks","brt","extra","2060","0","6420","4347","moderate","32.773114","-97.399724"
"X002","BRT","brt","extra","2060","0","6454","3948","moderate","32.795438","-97.366084"
"X016","Sundance Square SE2","brt","extra","2035","0","6482","659","moderate","32.723506","-97.304256"
