"line","mode","status","len_km","cost_M","competitive_commutes","commutes_per_Mdollar"
"E10:TRE","commuter","existing","54.7","0","50868",""
"E17:DNT Line - East","metro","proposed","64.6","9690","42376","4.37"
"E12:Orange Line","metro","existing","65.8","0","41242",""
"E13:Green Line","metro","existing","45.7","0","38648",""
"E15:Blue Line","metro","existing","50.3","0","29364",""
"E19:Silver","metro","proposed","87.8","13170","26052","1.98"
"E16:DNT Line - West","metro","proposed","33.2","4980","24953","5.01"
"E20:Cotton Belt","metro","existing","44.4","0","22180",""
"E14:Red Line","metro","existing","44.6","0","18639",""
"E09:Texrail","commuter","existing","42.1","0","18314",""
"Orange","metro","proposed","27","4050","16952","4.19"
"E08:FTW/Denton","commuter","proposed","56","560","16332","29.16"
"Blue","metro","proposed","24","3600","15906","4.42"
"E18:Line 76","metro","proposed","45","6750","15147","2.24"
"E11:A Train","commuter","existing","33.9","0","14038",""
"Teal","metro","proposed","25.9","3885","12235","3.15"
"E07:SE TexRail","commuter","proposed","28","280","12098","43.21"
"E26:Legacy Line","metro","proposed","21.3","3195","11200","3.51"
"E33:Sherman Line (ROW)","commuter","proposed","92.2","922","10822","11.74"
"E05:TexPress Expansion","commuter","proposed","21","210","9992","47.58"
"E32:Gainesville Line (ROW)","commuter","proposed","119","1190","9643","8.1"
"E27:Ross Avenue BRT","brt","proposed","12.3","246","9384","38.15"
"E34:Terrell Line (ROW)","commuter","proposed","55.3","553","9283","16.79"
"E06:TexRail 3rd exp","commuter","proposed","24.1","241","9157","38"
"E21:Beltline Line","brt","proposed","147.3","2946","8952","3.04"
"E23:Purple line","metro","proposed","93.4","14010","8277","0.59"
"E30:Alvarado Line (ROW)","commuter","proposed","44.7","447","7719","17.27"
"E22:Blue Ctd","metro","proposed","69.3","10395","7309","0.7"
"Silver","metro","proposed","25.2","3780","5206","1.38"
"E31:Bowie Line (ROW)","commuter","proposed","122.9","1229","4871","3.96"
"Purple","metro","proposed","7.7","1155","4131","3.58"
"E25:Collin Commuter","commuter","proposed","18.4","184","4013","21.81"
"E28:Forest Lane BRT","brt","proposed","16.1","322","3691","11.46"
"Red","metro","proposed","13.8","2070","3035","1.47"
"Pink","metro","proposed","21.9","3285","2910","0.89"
"E24:FW Crosstown Loop","brt","proposed","64.6","1292","2820","2.18"
"E35:Ennis Line (ROW)","commuter","proposed","54.8","548","2530","4.62"
"E37:Midlothian Line (ROW)","commuter","proposed","28","280","2466","8.81"
"E36:Waxahachie Line (ROW)","commuter","proposed","35.6","356","2121","5.96"
"E29:Jefferson Blvd BRT","brt","proposed","11.9","238","1025","4.31"
"E03:Woodhaven direct","brt","proposed","11.7","234","483","2.06"
"E01:BRT","brt","proposed","21.4","428","301","0.7"
"E04:46","brt","proposed","14.1","282","253","0.9"
"E02:3","brt","proposed","21.1","422","126","0.3"
