"geoid","pop","jobs","lat","lon"
"481390614021","2716","64","32.339256","-96.650427"
"480850319043","722","6181","33.000189","-96.700438"
"481130027031","1406","58","32.776147","-96.745529"
"480850310031","6472","626","33.186108","-96.522083"
"481210216391","1482","38","33.029625","-96.871325"
"484391055052","969","209","32.674241","-97.391746"
"481130108091","1866","17","32.715261","-96.888611"
"484391110191","2018","1401","32.629846","-97.327724"
"484391014013","1179","23","32.756822","-97.253582"
"481130166371","3186","314","32.636856","-96.887046"
"481130181202","1499","189","32.931883","-96.601238"
"484391132222","990","1517","32.8397","-97.197483"
"483970405121","1751","246","32.903021","-96.439194"
"484391115602","3188","134","32.636248","-97.094776"
"484391065033","1770","328","32.748222","-97.214318"
"484391131152","2041","1218","32.772136","-97.071459"
"484391107062","1002","284","32.762779","-97.453414"
"484391013021","1517","277","32.734609","-97.214492"
"480850305481","1668","52","33.203599","-96.691697"
"484391235001","1771","52","32.723537","-97.31281"
"481210214232","1842","31","33.141196","-97.11734"
"481210202061","1533","818","33.260242","-97.270854"
"484391105003","1281","34","32.781849","-97.402486"
"481210215161","2414","68","33.090048","-96.913277"
"483970403051","1287","1343","32.909788","-96.435598"
"482511306021","1699","118","32.315954","-97.419473"
"484391023021","1680","32","32.701585","-97.441943"
"484391110211","2639","171","32.586387","-97.376144"
"484391107032","1577","23","32.751978","-97.462766"
"484391136401","1848","516","32.906815","-97.149542"
"480850316703","979","16766","33.079508","-96.829116"
"482570513013","1128","175","32.441966","-96.230538"
"481130212001","1733","45","32.73993","-96.924564"
"481130181581","2223","1589","32.77827","-96.574905"
"481130010012","883","304","32.821821","-96.78007"
"481130006071","899","49","32.820751","-96.808981"
"481210217491","1916","196","33.058042","-97.101654"
"481210217403","1679","238","33.022158","-97.005152"
"481130170101","3791","379","32.677513","-96.587923"
"481130168031","2482","158","32.602449","-96.772676"
"482570512012","1461","22","32.469798","-96.133063"
"481130185081","1429","22","32.902855","-96.718487"
"484391102042","1116","0","32.819018","-97.27981"
"480850316772","1726","152","33.082807","-96.766255"
"481130176022","2196","2556","32.771567","-96.637549"
"481130190441","1812","42","32.927879","-96.696278"
"480850315042","1225","277","33.104562","-96.64493"
"484391131083","1167","15","32.762525","-97.136144"
"481130019011","1680","963","32.79515","-96.806965"
"481130166303","1262","16","32.602005","-96.923695"
"481130154041","2744","170","32.750341","-97.032835"
"483671405021","1100","86","32.946187","-97.989576"
"481130136062","1841","32","32.958067","-96.792799"
"484391138122","2058","510","32.898529","-97.243491"
"484391115382","2560","13","32.670605","-97.057252"
"483970402021","2039","165","32.95827","-96.45911"
"481210217342","2009","52","33.010187","-96.989742"
"482511303023","59","3283","32.402667","-97.412075"
"484391136184","1536","782","32.83288","-97.13816"
"481130124003","854","40","32.823092","-96.681253"
"484391115661","4213","115","32.604663","-97.045593"
"484391139323","12","4385","32.975318","-97.33551"
"481130192032","1086","54","32.9567","-96.741593"
"481130190234","1317","167","32.949187","-96.686935"
"484391136194","1166","54","32.818984","-97.150134"
"484391115253","1678","3837","32.688398","-97.104757"
"481130079025","761","31","32.848033","-96.748831"
"481130141472","1248","11","32.855371","-97.011117"
"484391115411","1510","125","32.658016","-97.110168"
"484391109071","1483","989","32.676309","-97.47306"
