"corridor","flows"
"33.2,-96.9>33.1,-96.8","6436"
"33.2,-96.7>33.1,-96.8","6260"
"33.1,-96.7>33.1,-96.8","5774"
"32.8,-96.7>32.8,-96.8","5701"
"32.9,-96.7>32.8,-96.8","5182"
"32.6,-96.9>32.8,-96.8","4964"
"32.7,-96.8>32.8,-96.8","4899"
"32.9,-96.8>32.8,-96.8","4672"
"33.1,-96.7>33.0,-96.8","4510"
"32.8,-97.1>32.9,-97.1","4306"
"32.9,-96.6>32.9,-96.7","4097"
"33.2,-96.8>33.1,-96.8","3935"
"33.1,-96.8>33.0,-96.8","3930"
"33.0,-96.6>33.0,-96.7","3924"
"32.7,-96.9>32.8,-96.8","3864"
"33.1,-96.7>33.0,-96.7","3620"
"32.6,-97.1>32.7,-97.1","3602"
"33.0,-96.6>32.9,-96.7","3544"
"33.2,-96.7>33.0,-96.8","3473"
"33.0,-96.9>32.9,-96.9","3357"
"32.9,-97.3>32.9,-97.1","3068"
"33.2,-96.7>33.0,-96.7","2958"
"32.8,-96.6>32.8,-96.8","2939"
"32.9,-96.9>32.8,-96.8","2937"
"33.0,-96.9>33.1,-96.8","2915"
"33.0,-97.0>32.9,-96.9","2895"
"32.6,-96.8>32.8,-96.8","2854"
"33.0,-96.7>33.0,-96.8","2815"
"32.9,-97.3>32.8,-97.3","2793"
"32.7,-97.1>32.8,-97.1","2787"
