old_name,lat,lon,new_name
Point 17,32.7928,-96.8028,Victory Park
Redevelopment,32.9291,-96.8149,Galleria North
o stuff,32.9359,-96.8261,Addison South
ugh,32.8170,-96.8434,Bachman Lake
2,32.7993,-96.8333,Design District
3,32.8011,-96.8396,Design District W
lots of apts,32.9395,-96.8133,Galleria / Addison
med,32.9135,-96.7726,Medical City Dallas
Point 70,32.9845,-96.7485,CityLine / Richardson
might as well,32.7079,-97.1319,South Arlington
Business Park S,32.7327,-97.0486,Great Southwest
Business Park N,32.7529,-97.0496,Great Southwest N
Point 58,32.8520,-97.0695,Bedford / SH-183
apt,32.8831,-96.6209,Garland Central
aopd,32.9123,-96.6800,Garland North
college and apts,32.9152,-96.7348,Richland College
lots of apts,32.9360,-96.7610,Spring Valley
people,32.9951,-96.9912,Carrollton
people and a mall,33.0007,-96.9758,Vista Ridge
Point 68,32.9783,-96.7681,Plano SW
Point 72,33.0077,-96.8377,Addison North
Point 74,32.9416,-96.8895,Carrollton East
Point 63,32.7886,-96.7707,Deep Ellum East
Point 78,32.6917,-96.8271,Glenn Heights
jobs,32.7225,-97.0242,GSW Industrial
Link it up,32.7173,-96.8744,Mountain Creek
Carrier North,32.7942,-97.0472,Carrier / 360
Carrier South,32.7771,-97.0489,Carrier South
Viridian,32.8001,-97.0959,Viridian
connect,32.8142,-96.5951,Rowlett
industry,32.7349,-97.3380,Rosedale
Point 12,32.7646,-96.7801,Cedars East
Point 11,32.7717,-96.7715,Baylor South
apts,32.9095,-96.7177,Richardson SE
apts,32.8556,-96.6495,Garland SE
The L Word,32.7656,-97.4461,Lockheed Gate
