tract,lat,lon,pop,jobs
48113012207,32.78478,-96.690724,7254,7252
48121020123,33.240559,-96.923211,6134,320
48113012210,32.811394,-96.691612,3930,100
48113010804,32.711888,-96.865248,4655,580
48113016535,32.66761,-96.915215,3757,228
48113016516,32.65559,-96.899511,5637,1281
48439105502,32.66121,-97.378482,5849,778
48121020111,33.172247,-96.872803,4402,313
48121021505,33.074733,-97.033599,6135,1694
48113019023,32.953647,-96.689898,5028,554
48113012102,32.768894,-96.66155,3274,484
48439123600,32.730841,-97.32847,3558,10887
48439105517,32.656572,-97.407574,3470,442
48439113630,32.846411,-97.144352,3769,595
48139060704,32.511102,-97.009735,4815,542
48439106507,32.765552,-97.249178,1943,436
48113000703,32.812038,-96.794475,3117,2194
48439101401,32.752515,-97.248765,5307,180
48139060216,32.53939,-96.860344,7922,796
48113008101,32.829932,-96.708818,1841,1901
48121021751,33.029159,-97.097933,4734,546
48113018147,32.864352,-96.586371,3737,194
48113019019,32.915787,-96.710348,7113,1211
48113019041,32.928975,-96.726362,2363,286
48439111304,32.595506,-97.123096,7225,1630
48113016629,32.596513,-96.929922,3158,1891
48113001203,32.802504,-96.744397,1370,79
48439113121,32.79844,-97.057195,1774,238
48439113912,32.933245,-97.201178,6662,3366
48113013013,32.87149,-96.72462,4410,556
48439106512,32.754783,-97.191479,4759,87
48113013621,32.959897,-96.806988,4423,402
48397040507,32.866255,-96.463485,4755,3750
48085031336,32.99214,-96.586968,5486,3072
48121021724,33.027417,-97.051647,4250,1187
48113014204,32.842945,-96.928508,2905,2490
48113010500,32.786535,-96.879866,3201,7487
48113017313,32.721885,-96.534575,3535,322
48085030517,33.161053,-96.72365,9512,3734
48085030534,33.179196,-96.691415,3173,1052
48113016418,32.692905,-97.03163,4724,488
48439105408,32.698869,-97.426417,2659,272
48085031724,33.006271,-96.820618,3004,154
48251130216,32.547391,-97.357441,4535,201
48121021746,33.061652,-97.100734,4365,1821
48439113640,32.911079,-97.161769,6108,2394
48085031321,33.005251,-96.506001,7121,414
48121021536,33.15502,-96.908111,6529,703
48139060801,32.442218,-96.975659,10690,2381
48113019040,32.935073,-96.726841,6968,14134
48113013725,32.9623,-96.850709,3748,6124
48121020315,33.07503,-97.157401,3424,1887
48113000100,32.815452,-96.737917,4473,1808
48113017010,32.681091,-96.582446,6573,459
48439113707,32.964682,-97.109629,4811,1245
48113017400,32.753873,-96.58948,5680,6654
48113012601,32.852826,-96.657928,5783,1514
48113019301,32.856086,-96.781778,3098,189
48085031411,33.077404,-96.632119,6037,619
48121021528,33.159488,-96.869435,2635,478
48439111543,32.649789,-97.125696,7433,815
48113001504,32.800136,-96.773644,2494,540
48439113221,32.853776,-97.203317,6021,1721
48113014160,32.872366,-96.997114,2760,771
48439114113,32.987709,-97.376914,4878,1462
48121020127,33.161615,-96.911978,7500,2153
48113007909,32.853531,-96.76485,2179,1317
48113008704,32.696107,-96.777473,3929,5638
48121020800,33.198621,-97.150996,6022,5089
48085031623,33.023047,-96.725802,2706,4858
48085031678,33.075365,-96.761138,3607,549
48113018203,32.900135,-96.611429,6636,938
48085031320,33.012453,-96.524397,6153,777
48113014151,32.906329,-96.9825,4424,8532
48113018155,32.969717,-96.556994,5526,637
48113005902,32.697665,-96.818587,4146,824
48121021414,33.209606,-97.063614,4853,1794
48439104502,32.708386,-97.325587,2873,2181
48439111544,32.638264,-97.124046,7438,915
48113019050,32.967665,-96.632269,2902,484
48113018151,32.948817,-96.60247,3960,1497
48139060217,32.415127,-96.803574,8698,1843
48085031634,33.061073,-96.725227,3022,122
48085031662,33.092865,-96.778553,4726,407
48085031647,33.037221,-96.837393,3273,8570
48251130100,32.443904,-97.534455,5661,1811
48113013607,32.956495,-96.777391,3538,729
48439105512,32.64563,-97.383003,4547,208
48113016536,32.668043,-96.897746,3193,1169
48121020133,33.194134,-96.895028,7591,412
48085031706,32.99282,-96.821535,2253,1278
48113018507,32.907145,-96.723324,3934,1084
48439102201,32.749415,-97.396804,3487,532
48439100202,32.802598,-97.340177,5428,5640
48113001802,32.800413,-96.805084,3390,10576
48439113930,32.880688,-97.335754,11980,2309
48113019213,32.937352,-96.75672,3232,887
48113000901,32.814787,-96.782928,2591,1009
48397040104,32.949406,-96.51345,3882,1335
48113014209,32.866149,-96.93116,4047,3352
48121021719,33.081661,-97.080993,5240,4210
48439113410,32.81823,-97.20315,4515,2770
48251130800,32.365475,-97.389602,4614,3200
48113020401,32.783375,-96.778553,2225,9305
48113011201,32.655911,-96.816382,3990,119
48439113636,32.913875,-97.102713,2505,2003
48085031509,33.091109,-96.725048,3873,544
48113014315,32.840184,-96.966121,3166,1609
48113018403,32.861522,-96.646193,1047,1920
48439114014,32.869636,-97.384018,6576,3799
48439104203,32.707815,-97.363672,4129,792
48085032015,33.027999,-96.673447,2380,248
48397040101,32.942218,-96.474056,7516,1541
48121021517,33.063414,-96.911409,4461,1881
48439105519,32.673739,-97.42422,4440,1783
48085031680,33.092597,-96.765712,3828,528
