"station_id","name","mode","lat","lon","year_opens","act","lines","color","src"
"X131","Walnut Hill/Denton","metro","32.881529","-96.883758","2025","0","Green Line","#097138","extra"
"X130","Royal Lane","metro","32.895513","-96.888157","2025","0","Green Line","#097138","extra"
"X129","Farmers Branch","metro","32.921314","-96.896078","2025","0","Green Line","#097138","extra"
"X134","Inwood/Love Field","metro","32.821756","-96.833261","2025","0","Green Line;Orange Line","#097138","extra"
"X133","Burbank","metro","32.842702","-96.861651","2025","0","Green Line;Orange Line","#097138","extra"
"X132","Bachman","metro","32.853236","-96.877236","2025","0","Green Line;Orange Line","#097138","extra"
"X125","Parker Road","metro","33.03432","-96.700657","2025","0","Orange Line;Red Line","#F57C00","extra"
"X124","Downtown Plano","metro","33.021203","-96.700862","2025","0","Orange Line;Red Line","#F57C00","extra"
"X123","12th Street","metro","33.014509","-96.700996","2025","0","Orange Line;Red Line","#F57C00","extra"
"X128","Downtown Carrollton","metro","32.95404","-96.908049","2025","9041","Green Line;Cotton Belt;Beltline Line","#097138","extra"
"X127","Trinity Mills","metro","32.980453","-96.926089","2025","0","Green Line;A Train;Sherman Line (ROW)","#097138","extra"
"X126","North Carrollton/Frankford","metro","32.992155","-96.937439","2025","0","Green Line","#097138","extra"
"X143","Baylor University Medical Center","metro","32.786689","-96.781325","2025","0","Green Line","#097138","extra"
"X142","Deep Ellum","metro","32.785505","-96.78815","2025","0","Green Line","#097138","extra"
"X141","Pearl/Arts District","metro","32.786763","-96.79409","2025","69348","Green Line;Orange Line;Red Line;Blue Line;DNT Line - East","#097138","extra"
"X146","Hatcher","metro","32.766281","-96.74187","2025","0","Green Line","#097138","extra"
"X145","MLK Jr.","metro","32.773475","-96.764245","2025","5130","Green Line;DNT Line - East;Line 76","#097138","extra"
"X144","Fair Park","metro","32.781353","-96.76621","2025","0","Green Line","#097138","extra"
"X137","Victory","metro","32.789013","-96.812338","2025","35831","Green Line;TRE;Orange Line;Silver","#097138","extra"
"X136","Market Center","metro","32.804496","-96.82307","2025","0","Green Line;Orange Line","#097138","extra"
"X135","Southwestern Medical District/Parkland","metro","32.813304","-96.833266","2025","0","Green Line;Orange Line","#097138","extra"
"X140","Saint Paul","metro","32.784576","-96.796695","2025","97933","Green Line;Orange Line;Red Line;Blue Line;Line 76","#097138","extra"
"X139","Akard","metro","32.782015","-96.800167","2025","0","Green Line;Orange Line;Red Line;Blue Line","#097138","extra"
"X138","West End","metro","32.781003","-96.80499","2025","0","Green Line;Orange Line;Red Line;Blue Line","#097138","extra"
"X101","University of Dallas","metro","32.848753","-96.914543","2025","0","Orange Line","#F57C00","extra"
"X100","Las Colinas Urban Center","metro","32.868224","-96.933252","2025","0","Orange Line","#F57C00","extra"
"X099","Irving Convention Center","metro","32.876663","-96.938094","2025","0","Orange Line","#F57C00","extra"
"X119","Spring Valley","metro","32.941299","-96.737057","2025","0","Orange Line;Red Line","#F57C00","extra"
"X118","LBJ/Central","metro","32.918689","-96.751792","2025","0","Orange Line;Red Line","#F57C00","extra"
"X117","Forest Lane","metro","32.908824","-96.761325","2025","0","Orange Line;Red Line","#F57C00","extra"
"X122","CityLine/Bush","metro","33.00249","-96.702941","2025","0","Orange Line;Red Line;Cotton Belt","#F57C00","extra"
"X121","Galatyn Park","metro","32.985465","-96.71077","2025","0","Orange Line;Red Line","#F57C00","extra"
"X120","Arapaho Center","metro","32.963965","-96.722586","2025","0","Orange Line;Red Line","#F57C00","extra"
"X113","SMU/Mockingbird","metro","32.838193","-96.774435","2025","0","Orange Line;Red Line;Blue Line","#F57C00","extra"
"X112","CityPlace/Uptown","metro","32.806758","-96.793225","2025","0","Orange Line;Red Line;Blue Line","#F57C00","extra"
"X116","Walnut Hill","metro","32.883191","-96.764865","2025","0","Orange Line;Red Line","#F57C00","extra"
"X115","Park Lane","metro","32.873176","-96.765729","2025","0","Orange Line;Red Line","#F57C00","extra"
"X114","Lovers Lane","metro","32.849026","-96.771595","2025","0","Orange Line;Red Line","#F57C00","extra"
"X147","Lawnview","metro","32.765571","-96.719953","2025","0","Green Line","#097138","extra"
"X180","White Rock","metro","32.855521","-96.732718","2025","0","Blue Line","#A1C2FA","extra"
"X179","Lake Highlands","metro","32.878976","-96.730623","2025","0","Blue Line","#A1C2FA","extra"
"X178","LBJ/Skillman","metro","32.897934","-96.71223","2025","41170","Blue Line;Forest Lane BRT","#A1C2FA","extra"
"X174","Westmoreland","metro","32.719612","-96.872258","2025","0","Red Line","#A52714","extra"
"X173","Hampton","metro","32.726201","-96.855802","2025","0","Red Line","#A52714","extra"
"X172","Tyler/Vernon","metro","32.733033","-96.838999","2025","0","Red Line","#A52714","extra"
"X177","Forest/Jupiter","metro","32.90795","-96.68003","2025","0","Blue Line","#A1C2FA","extra"
"X176","Downtown Garland","metro","32.916252","-96.635921","2025","0","Blue Line","#A1C2FA","extra"
"X175","Downtown Rowlett","metro","32.904231","-96.563086","2025","0","Blue Line","#A1C2FA","extra"
"X192","Kiest","metro","32.706776","-96.800927","2025","0","Blue Line","#A1C2FA","extra"
"X191","Illinois","metro","32.722783","-96.805293","2025","0","Blue Line","#A1C2FA","extra"
"X190","Morrell","metro","32.739735","-96.802666","2025","0","Blue Line","#A1C2FA","extra"
"X196","UNT Dallas","metro","32.65388","-96.801574","2025","0","Blue Line","#A1C2FA","extra"
"X195","Camp Wisdom","metro","32.666083","-96.787899","2025","0","Blue Line","#A1C2FA","extra"
"X193","VA Medical Center","metro","32.69331","-96.792811","2025","0","Blue Line","#A1C2FA","extra"
"X189","8th & Corinth","metro","32.748008","-96.798735","2025","0","Blue Line;Red Line","#A1C2FA","extra"
"X188","Cedars","metro","32.76855","-96.79325","2025","0","Blue Line;Red Line","#A1C2FA","extra"
"X187","Union Station","metro","32.775497","-96.808019","2025","77095","Blue Line;TRE;Red Line;Jefferson Blvd BRT","#A1C2FA","extra"
"X149","Buckner","metro","32.718265","-96.684696","2025","0","Green Line","#097138","extra"
"X148","Lake June","metro","32.732028","-96.709088","2025","0","Green Line","#097138","extra"
"X171","Dallas Zoo","metro","32.740418","-96.813372","2025","0","Red Line","#A52714","extra"
"X098","North Lake College","metro","32.875156","-96.966591","2025","0","Orange Line","#F57C00","extra"
"X072","Fort Worth T&P","commuter","32.745306","-97.329001","2025","4927","Texrail;TexPress Expansion;TRE;Alvarado Line (ROW)","#5b6770","extra"
"X073","Fort Worth Central","commuter","32.751994","-97.325572","2025","42667","Texrail;TexRail 3rd exp;SE TexRail;FTW/Denton;TRE;Bowie Line (ROW);Gainesville Line (ROW)","#5b6770","extra"
"X318","DFW Airport North","metro","32.934261","-97.054329","2025","0","Cotton Belt","#8c969e","extra"
