"line_id","name","mode","phase","color","folder","npts","median_km"
"L04","3","brt","1","#00838f","Proposed BRT","345","8"
"L06","46","brt","1","#00838f","BRT from actual transit plan that isn't covered by my subways","257","3.9"
"L02","Line 80","brt","1","#00838f","Proposed BRT","960","8.8"
"L05","Woodhaven direct","brt","1","#00838f","BRT from actual transit plan that isn't covered by my subways","194","4.3"
"L01","BRT","brt","2","#00838f","Proposed BRT","389","9.8"
"N5","Forest Lane BRT","brt","2","#00838f","Session B new","271","0"
"BRTLOOP","FW Crosstown Loop","brt","2","#00838f","FW BRT Loop","1185","0"
"N6","Jefferson Blvd BRT","brt","2","#00838f","Session B new","197","0"
"L03","NAS JRB BRT","brt","2","#00838f","Proposed BRT","47","9.4"
"N4","Ross Avenue BRT","brt","2","#00838f","Session B new","264","0"
"L24","Beltline Line","brt","3","#00838f","arlington and beyond","2338","20.9"
"L13","A Train","commuter","0","#5b6770","Existing Transit","380","45"
"L11","Texrail","commuter","0","#5b6770","Existing Transit","849","6.6"
"L12","TRE","commuter","0","#5b6770","Existing Transit","496","5.1"
"L09","SE TexRail","commuter","1","#5b6770","Commuter Rail","26","7.8"
"L07","TexPress Expansion","commuter","1","#5b6770","Commuter Rail","17","5.3"
"L08","TexRail 3rd exp","commuter","1","#5b6770","Commuter Rail","8","8.1"
"N1","Collin Commuter","commuter","2","#5b6770","Session B new","5","0"
"L10","FTW/Denton","commuter","3","#5b6770","Commuter Rail","42","39.7"
"L17","Blue Line","metro","0","#A1C2FA","Existing Transit","858","8.6"
"L23","Cotton Belt","metro","0","#8c969e","arlington and beyond","695","26"
"L15","Green Line","metro","0","#097138","Existing Transit","780","5.8"
"L14","Orange Line","metro","0","#F57C00","Existing Transit","1091","13.4"
"L16","Red Line","metro","0","#A52714","Existing Transit","730","5.7"
"L18","Arboretum Line","metro","1","#880E4F","New Dallas Lines","11","8.7"
"L21","Line 76","metro","1","#880E4F","New Dallas Lines","9","4.6"
"L25","Blue Ctd","metro","2","#01579B","arlington and beyond","122","12.4"
"L20","DNT Line - East","metro","2","#817717","New Dallas Lines","29","14.4"
"L19","DNT Line - West","metro","2","#E6EE9C","New Dallas Lines","59","10.9"
"N2","Legacy Line","metro","2","#0d8a4f","Session B new","38","0"
"L22","Silver","metro","2","#BDBDBD","arlington and beyond","171","14.6"
"L26","Purple line","metro","3","#9C27B0","arlington and beyond","164","23.5"
